;
;________________________________________________________________________________
;
;                        PLEASE KEEP THIS FILE Sorted!!!
;
;   This file is a list of builds to keep on the long time retention servers
;
;   It is comma delimited:
;     Build#,Comment to associate with build
;   
;   All lines starting with ";" will be sorted to the top by the "Add Build to
;   KEEP.TXT" job. If you would like to add a comment to your build entry add
;   it at the end of the line.
;
;                        PLEASE KEEP THIS FILE Sorted!!!
;________________________________________________________________________________
9828.2,jun09 QFE 9828.2 
9761,LKG CodecPack01 (as of 8/19/2009) 
9610,Dev10 LKG compiler for Jan2010 
9501,November XDK Tech Preview 
9485,
9472,
9446,Jan2010 compiler LKG1 candidate
9328.9,jun09 QFE 9328.9 
9328.8,jun09 QFE 9328.8 
9328.8,9328.8 Jun09 QFE on 9/21/2009 
9328.7,Jun09 QFE 9328.7 on Sep 3, 2009 
9328.6,June 09 QFE Number 6 
9328.5,QFE Jun09 9328.5 
9328.5,QFE Jun09 9328.5 
9328.4,QFE Jun09 9328.4 
9328.3,jun09 QFE 9328.3 on August 3, 2009 
9328.2,QFE Jun09 9328.2 
9328.13,June09 XDK QFE 9328.13 
9328.12,QFE for June09 
9328.11,Private QFE for June 2009 
9328.10,Private QFE for June 2009
9328.1,QFE from Jun09 on July 15 2009 
9296,mf$(d).lib files handed off to Turn 10 for a private QFE 
9199,Spring10 Munich RTM and Mar10 XDK 
9189,February 2010 XDK Preview Flash Build 9189
9102,use flash-spring10_9102 for Project V Hardware Validation per Yu Meng Lim request 
9074,flash-spring10 9074 
9071,Green Build handed off to Manufacturing 
9069,Green Signed Munich build provided on 7/6/09 
9068,
9065,
9063,
9056,Last known good Omni-N build 
8966,Fall09 Milan RTM (rebuild of 8955 to fix green mfg image) 
8964, Vanguard released build #2
8961,Vanguard released build #1 
8955,Fall09 Milan RTW Release 
8953,Final RTM build for Milan, this build was only released to Manufacturing 
8939,Chamaeleon Pre-Beta Test Flash 
8912,Base image for OmniN DV delta patch. Includes bugcheck security mitigation. 
8906,Second green-signed OmniN build 
8863,LKG for Omni-N and WaveA driver 
8853,
8852,Omni-N LKG 
8507,Spring09 Geneva QFE Release build 
8507,Requested by Brian Keogh 
8498,Spring09 Geneva release 
8496,Integration with 8496 flash 
8492,flash-spring09 
8490,Zune c9 moving to use flash 8490 
8485,Chamaeleon (c9 - zune client), moving to flash 8485 
8423,Chamaeleon team is currently bound to this build for development. 
8403,Chamaeleon Team is currently mapped to this Flash build. 
8392,Tech-Preview flash build released to select external partners. 
8364,
8348,Trinity bringup applications 
8329,Mar09 compiler Tech Preview 2
8311,
8310,Tech-Preview recovery released to select external partners. 
8276.2,Mar09 QFE 8276.2 
8276.1,Keep QFE 8276.1 
8276,Mar09 - Final release build 
8275,
